epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2476.89,0.83675,1.07636,0.99188,0.90772,0.63323,0.75443,0.6002,0.69722,0.94962,0.88785,0.00014142,0.00014142,0.00014142
73,2509.87,0.87013,1.16219,1.01578,0.90834,0.63408,0.755,0.59702,0.70099,0.93581,0.88842,0.000136707,0.000136707,0.000136707
74,2544.09,0.8435,1.03364,1.0042,0.93271,0.60964,0.77407,0.61617,0.69036,0.92239,0.88443,0.000131995,0.000131995,0.000131995
75,2576.23,0.84875,1.04459,0.99731,0.93435,0.62232,0.77349,0.62141,0.67595,0.90987,0.87903,0.000127282,0.000127282,0.000127282
76,2610.71,0.78584,1.00981,0.98417,0.93606,0.62669,0.78835,0.64101,0.66592,0.89299,0.87247,0.00012257,0.00012257,0.00012257
77,2643.14,0.85218,1.04128,0.99617,0.92788,0.64051,0.78933,0.64915,0.66568,0.8902,0.87193,0.000117858,0.000117858,0.000117858
78,2678.36,0.7901,1.0338,0.98794,0.92673,0.64623,0.80107,0.65805,0.66365,0.88664,0.87106,0.000113145,0.000113145,0.000113145
79,2710.72,0.83371,1.05894,1.01564,0.92793,0.64268,0.80104,0.66056,0.66047,0.884,0.87023,0.000108433,0.000108433,0.000108433
80,2745.21,0.83379,1.12039,1.01023,0.92743,0.65039,0.83787,0.69183,0.65431,0.87849,0.86705,0.00010372,0.00010372,0.00010372
81,2777.4,0.80403,1.02803,0.99702,0.9265,0.64488,0.84873,0.70008,0.65532,0.88122,0.86713,9.9008e-05,9.9008e-05,9.9008e-05
82,2812.12,0.76058,1.01669,0.97708,0.92573,0.64338,0.84967,0.69577,0.65899,0.8839,0.86814,9.42956e-05,9.42956e-05,9.42956e-05
83,2844.32,0.84991,1.05896,1.00922,0.94628,0.63341,0.85205,0.69612,0.66047,0.88628,0.86862,8.95832e-05,8.95832e-05,8.95832e-05
84,2879.51,0.8115,1.10557,1.01744,0.95135,0.6285,0.85453,0.6996,0.65139,0.87211,0.86719,8.48708e-05,8.48708e-05,8.48708e-05
85,2911.88,0.81621,1.03903,0.97532,0.95319,0.62934,0.85727,0.70492,0.64309,0.86112,0.86497,8.01584e-05,8.01584e-05,8.01584e-05
86,2946.62,0.76568,1.05141,1.0118,0.95076,0.62837,0.8582,0.7057,0.63697,0.8526,0.86367,7.5446e-05,7.5446e-05,7.5446e-05
87,2979.17,0.80229,1.07177,0.99624,0.94409,0.63363,0.86079,0.71162,0.63245,0.84648,0.86276,7.07336e-05,7.07336e-05,7.07336e-05
88,3013.63,0.75903,0.97423,0.97103,0.9466,0.62967,0.86079,0.71759,0.62433,0.83478,0.86169,6.60212e-05,6.60212e-05,6.60212e-05
89,3046.26,0.84009,1.04166,1.01902,0.94501,0.63026,0.86102,0.7195,0.62357,0.83162,0.86195,6.13088e-05,6.13088e-05,6.13088e-05
90,3081.44,0.79348,1.03238,1.00875,0.94246,0.63255,0.86103,0.71966,0.62322,0.83007,0.86155,5.65964e-05,5.65964e-05,5.65964e-05
91,3113.82,0.81407,1.04113,0.98942,0.93896,0.63215,0.86122,0.7203,0.6205,0.82838,0.86039,5.1884e-05,5.1884e-05,5.1884e-05
92,3147.91,0.79866,1.04919,0.99259,0.93663,0.63446,0.86082,0.71938,0.61721,0.82877,0.85826,4.71716e-05,4.71716e-05,4.71716e-05
93,3179.65,0.76873,1.04225,0.97944,0.93757,0.63362,0.86058,0.71845,0.61625,0.83046,0.85785,4.24592e-05,4.24592e-05,4.24592e-05
94,3213.36,0.83918,1.06869,1.01156,0.93489,0.6381,0.86121,0.72041,0.61614,0.83471,0.85752,3.77468e-05,3.77468e-05,3.77468e-05
95,3245.84,0.79497,1.05066,1.00165,0.93125,0.63952,0.86018,0.71787,0.61752,0.84069,0.85777,3.30344e-05,3.30344e-05,3.30344e-05
96,3434.31,0.7519,0.99199,0.95279,0.93393,0.65108,0.86114,0.71961,0.61838,0.85093,0.85809,2.8322e-05,2.8322e-05,2.8322e-05
97,3484.79,0.73415,0.97802,0.94876,0.93592,0.64949,0.86075,0.71883,0.61726,0.85461,0.85811,2.36096e-05,2.36096e-05,2.36096e-05
98,3532.15,0.80274,1.01042,0.98933,0.92905,0.65287,0.86087,0.71798,0.61644,0.856,0.85773,1.88972e-05,1.88972e-05,1.88972e-05
99,3567.47,0.7663,0.96989,0.95818,0.93079,0.65785,0.86098,0.71742,0.6163,0.85697,0.85755,1.41848e-05,1.41848e-05,1.41848e-05
100,3633.55,0.74808,0.97748,0.94072,0.9311,0.66062,0.86137,0.7147,0.61516,0.85649,0.85742,9.4724e-06,9.4724e-06,9.4724e-06
